,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Itamarandiba,BR,79.74,scattered clouds,-17.8572,-42.8589,Aricanduva Hotel
356,Cianorte,BR,87.22,clear sky,-23.6633,-52.605,Hotel Cianorte Diamond
357,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
359,Havelock,US,80.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
360,Wanning,CN,79.68,overcast clouds,18.8003,110.3967,Paradise Hotel
365,Cody,US,81.64,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
366,Panama City,PA,85.44,thunderstorm,8.9936,-79.5197,Trump International Hotel & Tower Panama
367,Kigoma,TZ,76.66,few clouds,-4.8769,29.6267,MJI Mwema Lodge
372,Carpenedolo,IT,75.25,scattered clouds,45.3645,10.4313,Bellavista
374,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
376,Banjar,ID,75.81,scattered clouds,-8.19,114.9675,The Hamsa Resort
380,Cabo San Lucas,MX,85.05,mist,22.8909,-109.9124,Hotel Tesoro Los Cabos
381,Wewak,PG,79.0,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
385,Kroya,ID,76.15,light rain,-7.6331,109.2461,Devina kost & Homestay Kroya
389,Les Cayes,HT,88.16,clear sky,18.2,-73.75,Villa Orphee
390,Liku,ID,75.25,overcast clouds,-0.7275,119.8922,Kost annisa
400,Piura,PE,82.58,clear sky,-5.2,-80.6333,Casa Andina Premium Piura
402,Corinto,GR,75.88,clear sky,37.9407,22.9573,Ephira Hotel
407,Muli,MV,81.59,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
413,Partur,IN,77.99,overcast clouds,19.6,76.2167,Prasanna Deshpande
417,Sao Francisco Do Sul,BR,76.19,broken clouds,-26.2433,-48.6381,Hotel Kontiki
420,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
422,Susanville,US,87.8,clear sky,40.4163,-120.653,Comfort Inn & Suites
428,Monrovia,LR,80.37,scattered clouds,6.3005,-10.7969,Sunset Inn
435,Kirakira,SB,78.28,scattered clouds,-10.4544,161.9205,SanBiz Lodge
436,Sao Jose Da Coroa Grande,BR,78.21,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
437,Hamilton,US,79.0,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
439,Shelburne,CA,80.24,clear sky,44.0787,-80.2041,The Retreat at the Farm
441,Lexington,US,78.94,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
442,Mount Pleasant,US,86.05,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
445,Frei Paulo,BR,75.99,overcast clouds,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
447,Jacqueville,CI,75.7,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
448,Palmer,US,78.15,few clouds,42.1584,-72.3287,Wedgewood Motel
450,Kundla,IN,84.88,light rain,21.3333,71.3,Gaytri Society
452,Caravelas,BR,75.58,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
453,Diffa,NE,83.48,light rain,13.3154,12.6113,ProDAF/Diffa
457,Pipar,IN,88.9,clear sky,26.3856,73.5378,Aadam Mansion
459,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
460,Buala,SB,79.65,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
461,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
466,Zhenhai,CN,75.88,clear sky,24.2582,118.0905,In Zhijian Guesthouse
468,Imbituba,BR,77.86,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
473,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
474,Bayonet Point,US,75.2,light rain,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
477,Awbari,LY,88.59,clear sky,26.5921,12.7805,فندق أوباري
478,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
480,Parsons,US,87.67,clear sky,37.3403,-95.2611,Express Inn Parsons
484,Kutum,SD,83.39,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
487,Lastoursville,GA,75.99,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
492,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
494,Cocobeach,GA,77.34,light rain,1.0002,9.5823,Hotel Esperance
496,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
497,Fomboni,KM,76.39,scattered clouds,-12.28,43.7425,Auberge les abou
498,Warangal,IN,76.55,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
499,Vila Franca Do Campo,PT,77.41,light rain,37.7167,-25.4333,Pestana Bahia Praia
504,Tazmalt,DZ,86.79,scattered clouds,36.3868,4.3989,Hôtel Numédia
510,Taos,US,84.54,clear sky,36.4072,-105.5731,El Monte Sagrado
512,Itapema,BR,81.84,overcast clouds,-27.0903,-48.6114,Solis Praia Hotel Itapema
