City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
216,Lompoc,34.6391,-120.4579,100.02,64,0,8.05,US,clear sky
217,Nome,64.5011,-165.4064,50.07,66,20,12.66,US,few clouds
218,Sinnamary,5.3833,-52.95,84.87,67,66,11.95,GF,broken clouds
219,Provideniya,64.3833,-173.3,44.96,82,99,6.53,RU,overcast clouds
220,Kruisfontein,-34.0033,24.7314,60.89,87,2,7.07,ZA,clear sky
221,Katsuura,35.1333,140.3,75.61,90,99,15.84,JP,overcast clouds
222,Huescar,37.811,-2.5412,81.12,24,78,7.05,ES,broken clouds
223,Inuvik,68.3499,-133.7218,43.21,78,70,2.21,CA,broken clouds
224,Marzuq,14.4,46.4667,82.24,50,51,5.86,YE,broken clouds
225,Bud,39.447,-86.1758,79.68,60,1,7.07,US,clear sky
226,Ambilobe,-13.2,49.05,74.46,61,89,5.28,MG,overcast clouds
227,San Antonio,29.4241,-98.4936,95.05,47,20,6.91,US,few clouds
228,Ixtapa,20.7,-105.2,86.23,70,100,5.99,MX,overcast clouds
229,Bandarbeyla,9.4942,50.8122,77.29,82,12,28.16,SO,few clouds
230,Klaksvik,62.2266,-6.589,56.32,94,93,14.03,FO,overcast clouds
231,Antofagasta,-23.65,-70.4,60.08,67,21,10.51,CL,few clouds
232,Zharkent,44.1628,80.0,78.26,24,81,4.09,KZ,broken clouds
233,Nantucket,41.2835,-70.0995,73.51,68,20,18.41,US,few clouds
234,Kununurra,-15.7667,128.7333,69.78,78,1,0.0,AU,clear sky
235,Belem,-1.4558,-48.5044,84.24,79,75,10.36,BR,broken clouds
236,Thompson,55.7435,-97.8558,60.26,44,82,14.09,CA,broken clouds
237,Mittagong,-34.45,150.45,53.2,99,100,3.85,AU,light rain
238,George,-33.963,22.4617,55.17,77,0,2.91,ZA,clear sky
239,Aklavik,68.2191,-135.0107,41.99,77,33,0.51,CA,scattered clouds
240,Salalah,17.0151,54.0924,77.09,94,75,6.91,OM,broken clouds
241,Oriximina,-1.7656,-55.8661,95.34,37,37,7.27,BR,scattered clouds
242,Nouadhibou,20.931,-17.0347,78.06,70,3,23.13,MR,clear sky
243,San Francisco,37.7749,-122.4194,100.02,63,0,10.0,US,clear sky
244,Krasnorechenskiy,44.6265,135.3532,57.51,79,0,5.01,RU,clear sky
245,Carutapera,-1.195,-46.02,85.01,61,23,12.59,BR,few clouds
246,Dengzhou,37.8086,120.7508,70.52,65,96,5.21,CN,overcast clouds
247,Piacabucu,-10.4056,-36.4344,77.11,72,50,10.22,BR,scattered clouds
248,Indramayu,-6.3264,108.32,77.14,82,97,5.3,ID,moderate rain
249,Oranjemund,-28.55,16.4333,55.89,92,5,10.94,NA,clear sky
250,Matara,5.9485,80.5353,76.84,92,76,8.01,LK,broken clouds
251,Aljezur,37.3191,-8.8033,72.41,83,19,9.71,PT,few clouds
252,Namikupa,-10.8333,39.6,71.11,65,61,6.73,TZ,broken clouds
253,Hofn,64.2539,-15.2082,51.33,76,9,5.64,IS,clear sky
254,Dembi Dolo,8.5333,34.8,58.46,93,49,3.44,ET,light rain
255,Tual,-5.6667,132.75,80.67,83,41,15.7,ID,scattered clouds
256,Lagoa,39.05,-27.9833,74.79,89,46,18.84,PT,light rain
257,Alta Floresta,-9.8756,-56.0861,98.46,26,48,6.46,BR,scattered clouds
258,Chenghai,23.4632,116.768,77.29,77,30,3.49,CN,scattered clouds
259,Coahuayana,18.7333,-103.6833,89.53,60,83,6.33,MX,broken clouds
260,Sabang,5.8933,95.3214,82.17,72,90,12.46,ID,overcast clouds
261,Czluchow,53.6672,17.3588,64.87,30,99,16.78,PL,overcast clouds
262,Balakhta,55.38,91.6,48.52,63,100,2.46,RU,overcast clouds
263,San Juan,-31.5375,-68.5364,59.76,17,2,20.65,AR,clear sky
264,Tilichiki,60.4667,166.1,46.54,95,100,4.12,RU,light rain
265,Uchiza,-8.4592,-76.4633,93.65,32,41,2.53,PE,scattered clouds
266,Kolyvan,55.3053,82.7391,44.22,68,87,4.59,RU,overcast clouds
267,Yangambi,0.8102,24.4336,71.15,99,93,4.94,CD,moderate rain
268,Ribas Do Rio Pardo,-20.4431,-53.7592,98.28,18,1,12.91,BR,clear sky
269,Nhulunbuy,-12.2333,136.7667,74.01,94,83,0.0,AU,broken clouds
270,Aksarka,66.5606,67.7975,34.57,81,97,5.86,RU,overcast clouds
271,Khandyga,62.6667,135.6,41.04,95,100,1.97,RU,overcast clouds
272,Saint-Leu,-21.15,55.2833,68.86,68,63,7.85,RE,broken clouds
273,Sibolga,1.7427,98.7792,75.81,81,82,3.2,ID,broken clouds
274,Jimeta,9.2833,12.4667,76.17,92,98,0.83,NG,overcast clouds
275,Lalmohan,22.3384,90.7419,84.83,77,86,9.89,BD,overcast clouds
276,Talara,-4.5772,-81.2719,74.16,64,14,19.57,PE,dust
277,Gillette,44.2911,-105.5022,82.11,26,20,11.5,US,few clouds
278,Vestmanna,62.1564,-7.1664,54.52,88,75,10.36,FO,broken clouds
279,Codrington,-38.2667,141.9667,50.45,94,65,8.95,AU,broken clouds
280,Iralaya,15.0,-83.2333,85.89,65,48,7.16,HN,scattered clouds
281,Pitimbu,-7.4706,-34.8086,82.99,65,84,14.54,BR,broken clouds
282,Humberto De Campos,-2.5983,-43.4611,90.18,44,6,8.86,BR,clear sky
283,San Luis,-33.295,-66.3356,58.08,19,6,20.07,AR,clear sky
284,Halifax,44.6453,-63.5724,74.7,66,97,11.99,CA,overcast clouds
285,Mount Gambier,-37.8333,140.7667,49.01,97,95,7.05,AU,overcast clouds
286,Baykit,61.67,96.37,39.04,93,100,17.02,RU,light rain
287,Poum,-20.2333,164.0167,73.62,81,100,6.78,NC,overcast clouds
288,Rondonopolis,-16.4708,-54.6356,103.62,13,0,9.06,BR,clear sky
289,Sao Filipe,14.8961,-24.4956,78.8,78,35,16.13,CV,scattered clouds
290,Vilhena,-12.7406,-60.1458,99.03,19,1,6.62,BR,clear sky
291,Souillac,-20.5167,57.5167,69.31,75,4,10.51,MU,light rain
292,Clinton,42.587,-82.9199,83.44,51,20,5.75,US,few clouds
293,Howard Springs,-12.497,131.047,76.91,92,12,3.87,AU,few clouds
294,Valparaiso,-33.0393,-71.6273,55.99,81,40,6.91,CL,scattered clouds
295,Daru,-9.0763,143.2092,77.99,89,90,12.21,PG,overcast clouds
296,Mount Isa,-20.7333,139.5,56.97,54,0,0.0,AU,clear sky
297,Zyryanka,65.75,150.85,49.96,79,98,7.94,RU,overcast clouds
298,Golkoy,40.6875,37.6178,60.21,93,77,1.43,TR,broken clouds
299,Bernal,-5.45,-80.75,80.35,43,10,11.83,PE,clear sky
300,Bulancak,40.9372,38.2291,69.62,60,75,5.75,TR,broken clouds
301,Sines,37.9562,-8.8698,74.28,81,59,8.43,PT,broken clouds
302,Sept-Iles,50.2001,-66.3821,61.32,88,100,3.44,CA,light intensity shower rain
303,Ozieri,40.586,9.0012,75.92,66,94,4.59,IT,overcast clouds
304,Los Alamos,35.8881,-106.307,79.97,28,0,4.0,US,clear sky
